X,Y
9861.757106,2.455106622
9700.258398,3.176141258
9579.134367,2.138634406
9525.301464,3.898807193
9484.926787,6.008078198
9417.635659,2.158210007
9323.428079,1.81889959
9202.304048,3.937958395
8986.972438,2.561141127
8825.47373,8.192389006
8704.349699,6.45342312
8556.309216,9.27720356
8408.268734,7.892229791
8287.144703,10.71274763
8179.478898,10.024339
8031.438415,12.1466604
7816.106804,34.2687208
7721.899225,74.6140344
7668.066322,64.09867408
7533.484065,30.44495341
7439.276486,37.82169238
7304.694229,17.49569337
7210.486649,17.85784199
7089.362618,23.83492548
6914.405685,30.1692637
6725.990525,31.24429045
6591.408269,22.84309503
6497.200689,20.04867799
6402.993109,23.91812179
6214.57795,21.83658288
6093.453919,33.07460914
5905.03876,28.88869313
5783.914729,15.57565317
5662.790698,11.03085115
5555.124892,7.185876856
5393.626184,11.06347715
5259.043928,8.975413045
5124.461671,6.536619424
5003.33764,4.446924021
4855.297158,7.972163495
4707.256675,5.535001175
4586.132644,9.407707567
4465.008613,11.87749589
4370.801034,5.926513194
4249.677003,4.187547308
4128.552972,7.008065148
4034.345392,5.967295696
3967.054264,9.132017853
3845.930233,6.340863415
3697.88975,5.657348681
3630.598622,7.068423251
3442.183463,3.23323676
3267.226529,2.903714144
3159.560724,1.513846475
2863.479759,4.004841699
2701.981051,4.0244173
2540.482343,2.991804348
2015.611542,1.652506982
1894.487511,2.368647717
1813.738157,1.676976483
1544.573643,5.216897659
1409.991387,5.23321066
1329.242033,3.489350873
1235.034453,4.552958526
1140.826873,2.460000522
1046.619294,6.329444314
912.037037,3.189191658
790.913006,3.203873359
669.788975,11.28533396
602.4978467,9.539842873
481.3738157,14.46473782
373.7080103,4.306632214
333.3333333,3.960796596
198.7510767,5.730757184
104.543497,12.75676663
10.33591731,9.962349594
